City_ID,City,Lat,Lng,Humidity,Cloudiness,Wind Speed,Country,Date,Max Temp Celsius
277,nivala,63.9167,24.9667,66,93,1.66,FI,1687599589,17.19999999999999
278,tiksi,71.6872,128.8694,84,100,0.26,RU,1687599589,8.019999999999982
279,lucea,18.451,-78.1736,78,94,3.65,JM,1687599590,27.069999999999993
280,nyurba,63.2842,118.3319,48,82,1.82,RU,1687599590,25.069999999999993
281,goderich,43.7501,-81.7165,94,95,1.03,CA,1687599591,17.329999999999984
282,sovetskoye,52.2861,85.4131,84,100,3.99,RU,1687599592,17.370000000000005
283,vestmannaeyjar,63.4427,-20.2734,100,100,10.29,IS,1687599592,10.699999999999989
284,araxa,-19.5933,-46.9406,72,83,1.29,BR,1687599593,11.04000000000002
285,abha,18.2164,42.5053,7,20,3.09,SA,1687599525,30.29000000000002
286,dwarka,22.2394,68.9678,68,92,5.17,IN,1687599594,30.660000000000025
287,agadez,19.75,10.25,20,4,4.37,NE,1687599595,36.45999999999998
288,husavik,66.0449,-17.3389,64,18,3.53,IS,1687599595,15.899999999999977
289,paamiut,61.994,-49.6678,88,99,8.99,GL,1687599596,2.839999999999975
290,kaeo,-35.1,173.7833,96,18,1.91,NZ,1687599597,13.110000000000014
291,gotsu,35.0,132.2167,88,98,3.06,JP,1687599597,21.49000000000001
292,horizontina,-27.6258,-54.3078,95,10,1.86,BR,1687599598,14.870000000000005
293,lokosovo,61.1333,74.8167,59,100,4.73,RU,1687599599,9.060000000000002
294,kannur,11.8675,75.3576,70,97,3.44,IN,1687599600,29.019999999999982
295,marrakesh,31.6315,-8.0083,54,0,2.06,MA,1687599416,27.189999999999998
296,bourail,-21.5667,165.4833,80,28,1.24,NC,1687599604,17.70999999999998
297,anyama,5.4946,-4.0518,84,98,2.71,CI,1687599605,26.600000000000023
298,khasan,42.4308,130.6434,91,52,3.71,RU,1687599605,18.120000000000005
299,verrettes,19.05,-72.4667,92,100,1.73,HT,1687599606,24.329999999999984
300,cayenne,4.9333,-52.3333,100,0,0.0,GF,1687599309,22.170000000000016
301,madarounfa,13.3087,7.156,38,92,3.15,NE,1687599608,22.279999999999973
302,kansas city,39.0997,-94.5786,86,68,0.45,US,1687599585,24.480000000000018
303,leningradskiy,69.3833,178.4167,94,98,0.26,RU,1687599610,2.5
304,belen,36.4891,36.2233,21,0,3.09,TR,1687599610,30.230000000000018
305,sur,22.5667,59.5289,63,34,2.97,OM,1687599611,32.99000000000001
306,sonoita,31.85,-112.8333,9,0,0.9,MX,1687599612,23.0
307,lusambo,-4.9667,23.45,39,76,0.21,CD,1687599613,33.620000000000005
308,ekhabi,53.5102,142.9671,88,21,5.39,RU,1687599613,8.379999999999995
309,umea,63.8284,20.2597,59,40,5.14,SE,1687599614,19.110000000000014
310,kalmunai,7.4167,81.8167,65,61,7.05,LK,1687599615,30.899999999999977
311,upata,8.0086,-62.3989,97,61,2.47,VE,1687599616,24.149999999999977
312,brae,60.3964,-1.353,85,61,3.58,GB,1687599617,16.279999999999973
313,conakry,9.538,-13.6773,78,75,3.09,GN,1687599618,28.189999999999998
314,remanso,-9.6179,-42.0831,69,50,3.22,BR,1687599618,21.420000000000016
315,baykit,61.67,96.37,59,93,2.9,RU,1687599619,16.00999999999999
316,ponta do sol,32.6667,-17.1,71,2,1.33,PT,1687599620,24.99000000000001
317,amapa,1.0,-52.0,98,38,0.52,BR,1687599621,21.879999999999995
318,sheltozero,61.3667,35.3667,83,100,1.93,RU,1687599621,15.029999999999973
319,vokhma,58.9303,46.7586,48,91,1.16,RU,1687599622,19.44999999999999
320,coahuayana,18.7333,-103.6833,85,11,1.42,MX,1687599622,25.160000000000025
321,xingyi,24.1877,102.817,67,90,1.16,CN,1687599623,21.470000000000027
322,damghan,36.1683,54.348,21,71,3.09,IR,1687599624,33.10000000000002
323,brezice,45.9033,15.5911,91,75,1.54,SI,1687599624,27.20999999999998
324,ures,29.4333,-110.4,14,18,0.46,MX,1687599625,27.910000000000025
325,port lincoln,-34.7333,135.8667,71,23,12.28,AU,1687599626,12.910000000000025
326,nelson bay,-32.7167,152.15,68,18,1.79,AU,1687599627,14.04000000000002
327,duns,55.777,-2.3457,85,100,6.38,GB,1687599627,22.129999999999995
328,tuatapere,-46.1333,167.6833,86,71,1.58,NZ,1687599629,9.019999999999982
329,garissa,-0.4536,39.6401,35,21,9.57,KE,1687599630,32.19999999999999
